關鍵字,括號名稱,大類,位置規則,命名規則,範例原始名稱,範例調整後名稱,啟用,說明
危機一發;超級瑪利歐 危機一發,玩具,98,主題在前-作品在後,麗嬰一般玩具類使用 (玩具)；商品主題放在 - 前，作品放在 - 後。,超級瑪利歐 危機一發,(玩具)危機一發-超級瑪利歐,1,麗嬰玩具命名與大類規則
布魯可,布魯可,,移到前方括號內,原名稱含關鍵字時將品牌移到前方括號，後續仍套用一般作品與角色位置重排,布魯可 福音戰士 奇蹟版 明日香 駕駛服,(布魯可)明日香駕駛服-福音戰士奇蹟版,1,產品名稱含此關鍵字時移到前方括號內並從後方名稱移除
布魯克,布魯克,,移到前方括號內,原名稱含關鍵字時將品牌移到前方括號，後續仍套用一般作品與角色位置重排,布魯克 火影忍者 超越版 宇智波斑,(布魯克)宇智波斑-火影忍者超越版,1,產品名稱含此關鍵字時移到前方括號內並從後方名稱移除
BRICKROID;EVANGELION;福音戰士,布魯克公仔,38,角色機體在前-作品系列在後,BRICKROID EVANGELION 類公仔，括號分類使用布魯克公仔，機體或角色放前，福音戰士新劇場版與 BRICKROID EVANGELION 放後。,BRICKROID EVANGELION初號機*1636,(布魯克公仔)初號機-福音戰士新劇場版BRICKROID EVANGELION,1,萬榮 BRICKROID EVANGELION 命名與大類規則
TOMICA;#PRM;PRM;#016;#089;#133;初回,TOMICA,25,括號分類在最前方,TOMICA 車車類商品使用 (TOMICA)；車號、初回、PRM 等識別詞接在分類後，車名接在後方；移除不必要底線或多餘空白,#016_950813 日本交通計程車,(TOMICA)#016_950813 日本交通計程車,1,TOMICA 車車類命名與大類規則
饗伴玩具,盲盒,36,細項在前-品牌在後,饗伴玩具盲盒類使用 (盲盒)；商品細項放在 - 前，品牌放在 - 後；原名出現 N入 或盒玩數量時以 @N 結尾,饗伴玩具 - 胖鯊魚鯊西米4(6入)-盒玩,(盲盒)胖鯊魚鯊西米4-饗伴玩具@6,1,饗伴玩具盲盒命名與大類規則
TOPTOY;睿誼;華祐;Hello Kitty;HelloKitty,睿誼盲盒,36,細項在前-品牌在後-盒數最後,睿誼/華祐 TOPTOY 盲盒類使用 (睿誼盲盒)；去除原名前方 TOPTOY，商品細項放在分類後，TOPTOY 依使用者確認可直接接在品名後，盒數以 @N 放在最後。,TOPTOY Hello Kitty小狗派對系列絨毛盲盒@8,(睿誼盲盒)HelloKitty小狗派對系列絨毛盲盒TOPTOY@8,1,睿誼/華祐 TOPTOY 盲盒命名與大類規則
三麗鷗;睿誼;華祐;絨毛吊飾盲盒,睿誼盲盒,36,括號分類在最前方,睿誼/華祐三麗鷗盲盒類使用 (睿誼盲盒)；商品主體接在括號後方，無品牌尾綴時不要強行加 -TOPTOY 或 @數量。,三麗鷗夏季祭典篇-絨毛吊飾盲盒,(睿誼盲盒)三麗鷗夏季祭典篇-絨毛吊飾盲盒,1,睿誼/華祐三麗鷗盲盒命名與大類規則
Relax time;RelaxTime,景品,39,角色在前-作品系列在後,景品 Relax time 類使用 (景品)；角色放在 - 前，作品名稱加 Relax time 放在 - 後，移除價格尾碼。,約會大作戰 Relax time 時崎狂三*1000,(景品)時崎狂三-約會大作戰Relax time,1,萬榮景品命名規則
MAXIMATIC,景品,39,角色在前-作品系列在後,景品 MAXIMATIC 類使用 (景品)；角色放在 - 前，作品名稱加 MAXIMATIC 放在 - 後，移除價格尾碼。,我的英雄學院 MAXIMATIC 相澤消太*1000,(景品)相澤消太-我的英雄學院MAXIMATIC,1,萬榮景品命名規則
Grandista,景品,39,角色在前-作品系列在後,景品 Grandista 類使用 (景品)；角色放在 - 前，作品名稱加 Grandista 放在 - 後，移除價格尾碼。,航海王 Grandista 珠寶·波妮*1000,(景品)珠寶·波妮-航海王Grandista,1,萬榮景品命名規則
Coreful Figure;Coreful,景品,39,角色在前-作品系列在後,景品 Coreful Figure 類使用 (景品)；角色或版本放在 - 前，作品名稱加 Coreful Figure 放在 - 後，移除價格尾碼。,戀上換裝娃娃 Coreful Figure 喜多川海夢維羅妮卡Ver.*2550,(景品)喜多川海夢維羅妮卡Ver.-戀上換裝娃娃Coreful Figure,1,景品系列命名與大類規則
Desktop Cute Figure;Desktop Cute,景品,39,角色在前-作品系列在後,景品 Desktop Cute 類使用 (景品)；角色或版本放在 - 前，作品名稱加 Desktop Cute 或 Desktop Cute Figure 放在 - 後，移除價格尾碼。,宇崎學妹想要玩! Desktop Cute Figure 宇崎月 泳裝Ver.*2500,(景品)宇崎月泳裝Ver.-宇崎學妹想要玩!Desktop Cute Figure,1,景品系列命名與大類規則
KING OF ARTIST,景品,39,角色在前-作品系列在後,景品 KING OF ARTIST 類使用 (景品)；角色與版本放在 - 前，作品名稱加 KING OF ARTIST 放在 - 後，移除價格尾碼。,航海王 KING OF ARTIST 蒙其D.魯夫 五檔II 特別版*1000,(景品)蒙其D.魯夫 五檔II 特別版-航海王KING OF ARTIST,1,景品系列命名與大類規則
VIBRATION STARS,景品,39,角色在前-作品系列在後,景品 VIBRATION STARS 類使用 (景品)；角色與版本放在 - 前，作品名稱加 VIBRATION STARS 放在 - 後，移除價格尾碼。,航海王 VIBRATION STARS 蒙其D.魯夫,(景品)蒙其D.魯夫-航海王VIBRATION STARS,1,景品系列命名與大類規則
獵人Hunter;搖頭公仔,公仔,38,角色拆分-系列在後,獵人 Hunter 搖頭公仔若單據寫多款可選，依使用者確認拆成角色品項；角色放在分類後，系列作品接在後方。,獵人Hunter搖頭公仔10入-兩款可選,(公仔)小傑-搖頭公仔獵人Hunter,1,南波丸公仔拆分命名規則
Nikke-Sac;Nikke,盲盒,34,括號分類在最前方,盲盒商品保留系列彈數，盒數以 @N 結尾；移除箱數與半箱資訊。,Nikke-Sac第三彈6入/箱6,(盲盒)Nikke-Sac第三彈@6,1,南波丸盲盒命名與大類規則
夢奇奇;植絨公仔P7,盲盒,34,細項在前-作品在後,夢奇奇植絨公仔類若為盒入規格，使用 (盲盒)，細項放在前，作品或品牌放在後，盒數以 @N 結尾。,夢奇奇植絨公仔P7-4入,(盲盒)植絨公仔P7-夢奇奇@4,1,南波丸盲盒命名與大類規則
URDU X DISNEY;好運萌獸;史迪奇,盲盒,34,細項在前-系列品牌在後,URDU X DISNEY 好運萌獸系列盲盒，角色款式放前，系列與品牌放後；遇到「2入/袋6」「2入/優6」時 @N 取前方入數，不取尾端袋數或優數。,URDU X DISNEY 好運萌獸系列鐵餅史迪奇款2入/袋6,(盲盒)好運萌獸系列鐵餅史迪奇款-URDU X DISNEY@2,1,南波丸盲盒命名與大類規則
Pingu;PINGU;家居毛絨掛件,盲盒,34,細項在前-作品在後,Pingu 毛絨掛件盲盒，細項放前，Pingu 放後，盒數以 @N 結尾，移除半箱資訊。,Pingu家居毛絨掛件6入/半箱5,(盲盒)家居毛絨掛件-Pingu@6,1,南波丸盲盒命名與大類規則
蠟筆小新;食光派對;插腰毛絨掛件,盲盒,34,細項在前-作品在後,蠟筆小新毛絨掛件盲盒，系列細項放前，作品放後，盒數以 @N 結尾，移除半箱資訊。,蠟筆小新食光派對插腰毛絨掛件6入/半箱6,(盲盒)食光派對插腰毛絨掛件-蠟筆小新@6,1,南波丸盲盒命名與大類規則
Opanchu Usagi;Usagi;倒霉生日會,盲盒,34,細項在前-作品在後,Opanchu Usagi 可動公仔盒入商品使用 (盲盒)，系列細項放前，作品放後，盒數以 @N 結尾。,TT Opanchu Usagi倒霉生日會系列可動公仔6入/袋6/箱9,(盲盒)倒霉生日會系列可動公仔-TT Opanchu Usagi@6,1,南波丸盲盒命名與大類規則
